id,run,version,trial,condition,Stress_duration,total_con_stress_dur,total_noc_stress_dur,rt,Target,First_correct,Feedback,Button_pressed,initial_aversiveness
1,1,6,1,con,6.3319893959,74.63,75.06,831.966741,3,TRUE,Positive,[3],60
1,1,6,2,bas,4.6678644801,74.63,75.06,667.8327634,2,TRUE,Positive,[2],60
1,1,6,3,con,5.2170102596,74.63,75.06,716.9777877,3,TRUE,Positive,[3],60
1,1,6,4,con,5.5999436649,74.63,75.06,599.9104381,2,TRUE,Positive,[2],60
1,1,6,5,noc,7.7851985907,74.63,75.06,785.0913578,1,FALSE,Negative,[1],60
1,1,6,6,noc,7.768089632,74.63,75.06,768.011095,3,FALSE,Negative,[3],60
1,1,6,7,con,6.167436114,74.63,75.06,667.3462498,2,TRUE,Positive,[2],60
1,1,6,8,con,6.0663995408,74.63,75.06,566.361405,1,TRUE,Positive,[1],60
1,1,6,9,con,6.1176014384,74.63,75.06,617.5655681,2,TRUE,Positive,[2],60
1,1,6,10,noc,7.6346407337,74.63,75.06,634.5584206,3,FALSE,Negative,[3],60
1,1,6,11,con,6.2644280382,74.63,75.06,764.4042503,3,TRUE,Positive,[3],60
1,1,6,12,con,6.0667907149,74.63,75.06,566.7589982,1,TRUE,Positive,[1],60
1,1,6,13,noc,4.8008606588,74.63,75.06,800.7590892,1,TRUE,Positive,[3],60
1,1,6,14,noc,7.767800027,74.63,75.06,767.6950595,2,FALSE,Negative,[2],60
1,1,6,15,noc,7.6669178838,74.63,75.06,666.8283972,3,FALSE,Negative,[3],60
1,1,6,16,bas,4.7012471883,74.63,75.06,701.1490171,3,TRUE,Positive,[3],60
1,1,6,17,con,6.2997062039,74.63,75.06,799.6673132,1,TRUE,Positive,[1],60
1,1,6,18,con,6.1677551703,74.63,75.06,667.6736125,2,TRUE,Positive,[2],60
1,1,6,19,bas,5.0007449677,74.63,75.06,NA,1,FALSE,Negative,[],60
1,1,6,20,noc,5.0007649795,74.63,75.06,NA,2,TRUE,Positive,[],60
1,1,6,21,noc,4.7331988639,74.63,75.06,733.1697904,3,TRUE,Positive,[3],60
1,1,6,22,con,6.7165335631,74.63,75.06,966.4976932,1,TRUE,Positive,[1],60
1,1,6,23,bas,4.6015687743,74.63,75.06,601.4770218,1,TRUE,Positive,[1],60
1,1,6,24,bas,4.6350417244,74.63,75.06,634.9250521,3,TRUE,Positive,[3],60
